image_name,object,x_cen,y_cen,w,h
\agri_0_1009.jpeg,1,0.608398,0.498047,0.541016,0.53125
\agri_0_1017.jpeg,1,0.496094,0.384766,0.960938,0.753906
\agri_0_1018.jpeg,1,0.445312,0.483398,0.808594,0.634766
\agri_0_1020.jpeg,1,0.494141,0.350586,0.730469,0.611328
\agri_0_1024.jpeg,1,0.601562,0.448242,0.570312,0.595703
\agri_0_1026.jpeg,0,0.496094,0.411133,0.503906,0.494141
\agri_0_1028.jpeg,0,0.476562,0.285156,0.070312,0.0625
\agri_0_1028.jpeg,0,0.480469,0.169922,0.054688,0.082031
\agri_0_1028.jpeg,0,0.148438,0.235352,0.070312,0.091797
\agri_0_1028.jpeg,0,0.420898,0.489258,0.064453,0.041016
\agri_0_1028.jpeg,0,0.767578,0.408203,0.042969,0.066406
\agri_0_1028.jpeg,0,0.742188,0.637695,0.082031,0.064453
\agri_0_1028.jpeg,0,0.446289,0.706055,0.068359,0.056641
\agri_0_1028.jpeg,0,0.542969,0.8125,0.050781,0.066406
\agri_0_1028.jpeg,0,0.764648,0.923828,0.064453,0.0625
\agri_0_1028.jpeg,0,0.166992,0.817383,0.083984,0.044922
\agri_0_1028.jpeg,0,0.396484,0.956055,0.058594,0.037109
\agri_0_1028.jpeg,0,0.205078,0.889648,0.042969,0.041016
\agri_0_1041.jpeg,0,0.513672,0.500977,0.785156,0.998047
\agri_0_1053.jpeg,0,0.538086,0.448242,0.712891,0.759766
\agri_0_106.jpeg,0,0.532227,0.441406,0.634766,0.671875
\agri_0_106.jpeg,0,0.308594,0.951172,0.347656,0.097656
\agri_0_106.jpeg,0,0.938477,0.728516,0.123047,0.113281
\agri_0_106.jpeg,0,0.09668,0.494141,0.150391,0.226562
\agri_0_1068.jpeg,1,0.375977,0.464844,0.611328,0.648438
\agri_0_1079.jpeg,1,0.49707,0.493164,0.966797,0.970703
\agri_0_1082.jpeg,0,0.46582,0.350586,0.806641,0.583984
\agri_0_1082.jpeg,0,0.469727,0.708008,0.259766,0.248047
\agri_0_1083.jpeg,0,0.498047,0.512695,0.914062,0.728516
\agri_0_1094.jpeg,0,0.515625,0.53125,0.828125,0.777344
\agri_0_1095.jpeg,1,0.491211,0.515625,0.509766,0.628906
\agri_0_110.jpeg,0,0.461914,0.575195,0.919922,0.587891
\agri_0_110.jpeg,0,0.118164,0.125977,0.232422,0.232422
\agri_0_110.jpeg,0,0.689453,0.189453,0.199219,0.132812
\agri_0_110.jpeg,0,0.169922,0.865234,0.335938,0.253906
\agri_0_110.jpeg,0,0.349609,0.043945,0.203125,0.083984
\agri_0_110.jpeg,0,0.894531,0.080078,0.207031,0.15625
\agri_0_1114.jpeg,1,0.477539,0.457031,0.853516,0.855469
\agri_0_1119.jpeg,0,0.490234,0.492188,0.957031,0.980469
\agri_0_1123.jpeg,0,0.47168,0.552734,0.333984,0.339844
\agri_0_1129.jpeg,0,0.480469,0.494141,0.957031,0.808594
\agri_0_113.jpeg,1,0.519531,0.530273,0.792969,0.888672
\agri_0_1130.jpeg,1,0.553711,0.640625,0.455078,0.34375
\agri_0_1130.jpeg,1,0.194336,0.942383,0.212891,0.115234
\agri_0_114.jpeg,0,0.554688,0.524414,0.890625,0.810547
\agri_0_1140.jpeg,1,0.401367,0.470703,0.755859,0.585938
\agri_0_1140.jpeg,1,0.921875,0.197266,0.15625,0.324219
\agri_0_1146.jpeg,1,0.527344,0.633789,0.761719,0.732422
\agri_0_1166.jpeg,1,0.520508,0.52832,0.833984,0.623047
\agri_0_1168.jpeg,0,0.512695,0.544922,0.833984,0.484375
\agri_0_1171.jpeg,0,0.491211,0.526367,0.978516,0.634766
\agri_0_1173.jpeg,1,0.477539,0.50293,0.685547,0.408203
\agri_0_1174.jpeg,0,0.486328,0.477539,0.96875,0.951172
\agri_0_1177.jpeg,0,0.481445,0.508789,0.939453,0.802734
\agri_0_1192.jpeg,1,0.766602,0.71582,0.455078,0.564453
\agri_0_1192.jpeg,1,0.337891,0.271484,0.339844,0.414062
\agri_0_1193.jpeg,1,0.539062,0.427734,0.703125,0.851562
\agri_0_1198.jpeg,0,0.446289,0.50293,0.740234,0.947266
\agri_0_1210.jpeg,1,0.447266,0.469727,0.835938,0.927734
\agri_0_1211.jpeg,0,0.507812,0.473633,0.800781,0.814453
\agri_0_1214.jpeg,0,0.475586,0.439453,0.939453,0.683594
\agri_0_1215.jpeg,1,0.462891,0.473633,0.886719,0.501953
\agri_0_122.jpeg,1,0.581055,0.448242,0.466797,0.326172
\agri_0_1221.jpeg,0,0.463867,0.542969,0.365234,0.386719
\agri_0_1242.jpeg,0,0.507812,0.570312,0.9375,0.707031
\agri_0_1258.jpeg,1,0.478516,0.509766,0.898438,0.785156
\agri_0_126.jpeg,1,0.495117,0.53125,0.951172,0.910156
\agri_0_1260.jpeg,0,0.486328,0.464844,0.886719,0.648438
\agri_0_1260.jpeg,0,0.803711,0.899414,0.314453,0.201172
\agri_0_129.jpeg,0,0.540039,0.506836,0.716797,0.685547
\agri_0_131.jpeg,0,0.5,0.506836,0.996094,0.947266
\agri_0_1314.jpeg,0,0.492188,0.572266,0.859375,0.851562
\agri_0_1317.jpeg,0,0.485352,0.499023,0.947266,0.814453
\agri_0_1320.jpeg,1,0.485352,0.556641,0.685547,0.476562
\agri_0_1332.jpeg,0,0.473633,0.602539,0.544922,0.533203
\agri_0_1332.jpeg,0,0.845703,0.170898,0.292969,0.248047
\agri_0_1332.jpeg,0,0.878906,0.423828,0.238281,0.234375
\agri_0_1334.jpeg,1,0.55957,0.516602,0.830078,0.544922
\agri_0_1342.jpeg,0,0.556641,0.586914,0.699219,0.478516
\agri_0_1350.jpeg,1,0.489258,0.527344,0.275391,0.429688
\agri_0_1351.jpeg,0,0.501953,0.578125,0.835938,0.84375
\agri_0_136.jpeg,0,0.460938,0.514648,0.917969,0.740234
\agri_0_1361.jpeg,0,0.504883,0.496094,0.966797,0.988281
\agri_0_1385.jpeg,1,0.538086,0.429688,0.740234,0.546875
\agri_0_1393.jpeg,1,0.525391,0.506836,0.890625,0.880859
\agri_0_1395.jpeg,0,0.592773,0.545898,0.787109,0.814453
\agri_0_14.jpeg,0,0.171875,0.198242,0.074219,0.048828
\agri_0_14.jpeg,0,0.337891,0.546875,0.066406,0.050781
\agri_0_14.jpeg,0,0.158203,0.530273,0.09375,0.064453
\agri_0_14.jpeg,0,0.548828,0.40332,0.097656,0.052734
\agri_0_14.jpeg,0,0.46582,0.703125,0.107422,0.09375
\agri_0_14.jpeg,0,0.393555,0.842773,0.068359,0.064453
\agri_0_14.jpeg,0,0.095703,0.925781,0.128906,0.101562
\agri_0_14.jpeg,0,0.795898,0.390625,0.076172,0.058594
\agri_0_14.jpeg,0,0.639648,0.549805,0.056641,0.044922
\agri_0_14.jpeg,0,0.098633,0.366211,0.072266,0.076172
\agri_0_14.jpeg,0,0.831055,0.467773,0.095703,0.064453
\agri_0_14.jpeg,0,0.266602,0.555664,0.064453,0.060547
\agri_0_14.jpeg,0,0.188477,0.473633,0.068359,0.052734
\agri_0_14.jpeg,0,0.178711,0.25,0.056641,0.050781
\agri_0_14.jpeg,0,0.291016,0.229492,0.058594,0.056641
\agri_0_14.jpeg,0,0.975586,0.243164,0.044922,0.068359
\agri_0_14.jpeg,0,0.777344,0.202148,0.0625,0.048828
\agri_0_14.jpeg,0,0.84082,0.669922,0.044922,0.066406
